"Aggravated Assault/
Homicide Circumstance","Total
Individuals","Criminal Attacked a
Police Officer and
That Police Officer
Killed Criminal1","Criminal Attacked a
 Police Officer and
Another Police Officer 
Killed Criminal1","Criminal
Attacked a
Civilian","Criminal
Attempted
Flight From
a Crime","Criminal
Killed in the
Commission
of a Crime","Criminal
Resisted
Arrest1","Unable to
Determine/
Not Enough
Information"
Total,728,186,36,294,3,179,11,19
Criminal Killed by Private Citizen,422,,,274,0,137,,11
Criminal Killed by Police Officer,306,186,36,20,3,42,11,8
